date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:41:28	13993/13993	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2007:41:27%20GMT	https://me.daracloud.uk/articles/icarus-food-edition/	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/articles/icarus-food-edition/index.html	(from https://me.daracloud.uk/articles/)
08:41:28	15999/15999	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2007:41:28%20GMT	https://me.daracloud.uk/articles/icarus-2nd-update/	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/articles/icarus-2nd-update/index.html	(from https://me.daracloud.uk/articles/)
08:41:29	418/418	---MCZ	200	added ('OK')	application/xml	etag:W/%2297bc968d70f1f18ca11594a6af41b847%22	https://me.daracloud.uk/contact/index.xml	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/contact/index.xml	(from https://me.daracloud.uk/contact/)
08:41:29	4716/4716	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Mar%202026%2007:41:28%20GMT	https://me.daracloud.uk/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/cdn-cgi/l/email-protection	(from https://me.daracloud.uk/contact/)
08:41:29	28260/28260	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2007:41:28%20GMT	https://me.daracloud.uk/articles/icarus-announcement/	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/articles/icarus-announcement/index.html	(from https://me.daracloud.uk/articles/)
08:41:29	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Mar%202026%2007:41:28%20GMT	https://me.daracloud.uk/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://me.daracloud.uk/contact/)
08:41:30	101437/101437	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a3a315bf53cd0a25f7201b7ab3c8e545%22	https://me.daracloud.uk/assets/js/highlight.min.b95bacdc39e37a332a9f883b1e78be4abc1fdca2bc1f2641f55e3cd3dabd4d61.js	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/assets/js/highlight.min.b95bacdc39e37a332a9f883b1e78be4abc1fdca2bc1f2641f55e3cd3dabd4d61.js	(from https://me.daracloud.uk/projects/boyant-notes/)
08:41:30	15931/15931	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2007:41:29%20GMT	https://me.daracloud.uk/privacy-policies/boyant-notes-privacy/	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/privacy-policies/boyant-notes-privacy/index.html	(from https://me.daracloud.uk/projects/boyant-notes/)
08:41:30	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2031%20Mar%202026%2007:41:29%20GMT	https://me.daracloud.uk/privacy-policies/grade-aid-privacy-policy	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/privacy-policies/grade-aid-privacy-policy	(from https://me.daracloud.uk/projects/hc-grade-aid/)
08:41:30	10509/10509	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2007:41:29%20GMT	https://me.daracloud.uk/privacy-policies/boyant-notes-support/	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/privacy-policies/boyant-notes-support/index.html	(from https://me.daracloud.uk/projects/boyant-notes/)
08:41:30	15901/15901	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2007:41:29%20GMT	https://me.daracloud.uk/privacy-policies/grade-aid-privacy-policy/	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/privacy-policies/grade-aid-privacy-policy/index.html	(from https://me.daracloud.uk/projects/hc-grade-aid/)
08:41:30	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2031%20Mar%202026%2007:41:29%20GMT	https://me.daracloud.uk/privacy-policies/grade-aid-tos	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/privacy-policies/grade-aid-tos	(from https://me.daracloud.uk/projects/hc-grade-aid/)
08:41:30	13490/13490	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2007:41:30%20GMT	https://me.daracloud.uk/privacy-policies/grade-aid-tos/	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/privacy-policies/grade-aid-tos/index.html	(from https://me.daracloud.uk/projects/hc-grade-aid/)
08:41:30	221522/221522	---M--	200	added ('OK')	image/png	etag:%22e54a71d493b8de961e00dbd160a0f9e0%22	https://me.daracloud.uk/images/icarus-firstview.png	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/images/icarus-firstview.png	(from https://me.daracloud.uk/projects/icarus/)
08:41:31	12172/12172	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2007:41:30%20GMT	https://me.daracloud.uk/privacy-policies/icarus-privacy/	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/privacy-policies/icarus-privacy/index.html	(from https://me.daracloud.uk/projects/icarus/)
08:41:31	77683/77683	---M--	200	added ('OK')	image/png	etag:%2284f43bdee0788b8c7d2f70af8453f62f%22	https://me.daracloud.uk/images/valoplant_sova_dart.png	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/images/valoplant_sova_dart.png	(from https://me.daracloud.uk/articles/icarus-2nd-update/)
08:41:31	212925/212925	---M--	200	added ('OK')	image/png	etag:%22f565afe4ee336aa2df07cf9a73b128a4%22	https://me.daracloud.uk/images/valoplant_agentbar.png	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/images/valoplant_agentbar.png	(from https://me.daracloud.uk/articles/icarus-announcement/)
08:41:32	212932/212932	---M--	200	added ('OK')	image/png	etag:%221ee96d0865c6c273106ffac76aaedd50%22	https://me.daracloud.uk/images/valoplant_adbar.png	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/images/valoplant_adbar.png	(from https://me.daracloud.uk/articles/icarus-announcement/)
08:41:32	10103/10103	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2007:41:31%20GMT	https://me.daracloud.uk/privacy-policies/	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/privacy-policies/index.html	(from https://me.daracloud.uk/privacy-policies/boyant-notes-privacy/)
08:41:32	628445/628445	---M--	200	added ('OK')	image/png	etag:%22f5ebcd705df6887b4dcc2dcc2556eff9%22	https://me.daracloud.uk/images/ingame_sova_dart.png	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/images/ingame_sova_dart.png	(from https://me.daracloud.uk/articles/icarus-2nd-update/)
08:41:32	3725/3725	---MCZ	200	added ('OK')	application/xml	etag:W/%22eea45073e0d916dbbefa034bd943ee7e%22	https://me.daracloud.uk/privacy-policies/index.xml	C:/My%20Web%20Sites/charles%20website/me.daracloud.uk/privacy-policies/index.xml	(from https://me.daracloud.uk/privacy-policies/)
